WTI,USAtoJPY,USAtoGBP,USAtoEUR
12.34,106.88,0.8048,0.924
15.06,106.71,0.802,0.9194
18.84,107.18,0.794,0.9125
19.78,106.94,0.7997,0.9105
20.39,106.75,0.8036,0.9166
24.56,106.6,0.8042,0.9227
23.99,106.15,0.8102,0.9263
23.55,106.29,0.8088,0.9228
24.74,106.67,0.8059,0.9224
24.14,107.68,0.8106,0.9251
25.78,107.14,0.8156,0.9217
25.29,107.03,0.8176,0.9243
27.56,107.25,0.8178,0.9254
29.43,107.04,0.826,0.9245
31.82,107.35,0.8201,0.9163
32.5,107.71,0.8162,0.9153
33.49,107.53,0.817,0.9107
33.92,107.62,0.8181,0.9131
33.25,107.63,0.8214,0.9172
33.92,107.71,0.8204,0.9173
34.35,107.54,0.8109,0.9105
32.81,107.72,0.8162,0.9085
33.71,107.64,0.8117,0.9026
35.49,107.79,0.8099,0.9009
35.44,107.59,0.8004,0.898
36.81,108.68,0.7968,0.895
37.29,108.9,0.7952,0.89
37.41,109.14,0.7939,0.8818
39.55,109.59,0.7896,0.8859
38.19,108.43,0.786,0.8853
38.94,107.74,0.7857,0.8818
39.6,107.11,0.7845,0.8793
36.34,106.86,0.7935,0.8849
36.26,107.36,0.7973,0.8883
37.12,107.32,0.7934,0.883
38.38,107.33,0.7951,0.8876
37.96,107,0.7964,0.8892
38.84,106.97,0.8048,0.8925
39.75,106.89,0.8092,0.8945
40.46,106.89,0.8023,0.8879
40.37,106.53,0.7987,0.8842
38.01,107.04,0.8051,0.8887
38.72,107.2,0.8053,0.8913
38.49,107.22,0.8107,0.8912
39.7,107.57,0.8131,0.8894
39.27,107.93,0.8064,0.8901
39.82,107.47,0.8016,0.8886
40.65,107.5,0.8021,0.8897
40.28,107.51,0.8009,0.8889
40.63,107.36,0.8005,0.8842
40.62,107.52,0.7973,0.887
40.9,107.26,0.7929,0.8825
39.62,107.21,0.7933,0.8861
40.55,106.9,0.7922,0.8848
40.1,107.28,0.7964,0.8814
40.29,107.25,0.7967,0.8772
41.2,106.94,0.7948,0.8762
40.75,107.27,0.7968,0.8783
40.59,107,0.7957,0.8749
40.81,107.25,0.7897,0.8735
41.96,106.78,0.7855,0.8674
41.9,107.15,0.7853,0.8642
41.07,106.86,0.7849,0.8622
41.29,106.14,0.7817,0.8578
41.6,105.38,0.7763,0.8509
41.04,105.09,0.7733,0.8534
41.27,104.92,0.7695,0.8479
39.92,104.74,0.7637,0.844
40.27,105.89,0.7642,0.8488
41.01,105.96,0.7649,0.85
41.7,105.72,0.7651,0.8471
42.19,105.58,0.7625,0.8428
41.95,105.55,0.7605,0.8419
41.22,105.93,0.7661,0.8482
41.94,105.95,0.7649,0.8518
41.61,106.48,0.7663,0.8517
42.67,106.89,0.7671,0.8485
42.24,106.92,0.7654,0.8463
42.01,106.59,0.7641,0.8443
42.89,105.99,0.7631,0.8424
42.89,105.42,0.7552,0.8381
42.93,106.1,0.7632,0.8447
42.58,105.79,0.7567,0.843
42.34,105.78,0.7638,0.8475
42.62,105.97,0.7654,0.8482
43.35,106.36,0.7602,0.8449
43.39,105.98,0.7569,0.8452
43.04,106.55,0.7573,0.8458
42.97,105.34,0.7488,0.8398
42.61,105.89,0.7477,0.8377
42.76,105.95,0.747,0.8393
41.51,106.18,0.749,0.8434
41.37,106.17,0.7528,0.8437
39.77,106.23,0.7528,0.8445
39.2,106.25,0.7593,0.8461
36.76,106.01,0.7702,0.849
38.05,106.17,0.769,0.8472
37.3,106.13,0.7808,0.8462
37.33,106.14,0.7814,0.844
37.26,105.72,0.7783,0.8425
38.28,105.43,0.7758,0.844
40.16,104.94,0.7711,0.8462
40.97,104.73,0.7707,0.8439
41.11,104.55,0.7741,0.8445
39.31,104.64,0.7802,0.8494
39.6,104.91,0.7852,0.854
39.93,105.37,0.7858,0.8574
40.31,105.4,0.7841,0.8565
40.25,105.6,0.7843,0.8595
40.6,105.49,0.779,0.857
39.29,105.64,0.7773,0.8514
40.22,105.45,0.7738,0.8531
38.72,105.5,0.7756,0.851
37.05,105.33,0.7727,0.8534
39.22,105.72,0.7703,0.8485
40.67,105.62,0.7763,0.8521
39.95,105.96,0.7739,0.8501
41.19,106.01,0.773,0.8503
40.6,105.59,0.7663,0.8455
39.43,105.3,0.7654,0.8464
40.2,105.47,0.773,0.8512
41.04,105.15,0.7683,0.8512
40.96,105.44,0.7742,0.854
40.88,105.4,0.7741,0.8532
40.83,105.42,0.7721,0.8498
41.46,105.49,0.7724,0.8457
40.03,104.56,0.7603,0.843
40.64,104.82,0.7642,0.846
39.85,104.69,0.7666,0.843
38.56,104.82,0.7678,0.8467
39.57,104.4,0.7665,0.8477
37.39,104.29,0.7701,0.8514
36.17,104.61,0.7735,0.8565
35.79,104.64,0.7725,0.8583
36.81,104.71,0.7739,0.8589
37.66,104.46,0.7656,0.8534
39.15,104.48,0.7698,0.8527
38.79,103.47,0.7606,0.8454
37.14,103.33,0.7599,0.842
40.29,105.36,0.7596,0.8464
41.36,105.28,0.7532,0.8462
41.45,105.42,0.7561,0.849
41.12,105.12,0.7623,0.8469
40.13,104.62,0.7582,0.8449
41.34,104.56,0.7576,0.8435
41.43,104.17,0.7548,0.8428
41.82,103.83,0.7533,0.8435
41.74,103.72,0.7539,0.842
42.15,103.85,0.7527,0.8434
43.06,104.54,0.7505,0.8445
44.91,104.43,0.7483,0.8408
45.71,104.45,0.747,0.8392
44.98,104.25,0.7484,0.8392
45.53,104.1,0.7509,0.8358
45.34,104.27,0.7505,0.8381
44.55,104.3,0.7453,0.8284
45.28,104.4,0.7481,0.8253
45.64,103.83,0.7437,0.8234
46.26,104.14,0.7439,0.8248
45.76,104.06,0.7473,0.8257
45.6,104.15,0.7487,0.8261
45.52,104.21,0.7463,0.8276
46.78,104.2,0.7521,0.8237
46.57,104.01,0.756,0.8254
46.99,104.03,0.7504,0.8233
47.62,103.66,0.7427,0.8227
47.82,103.48,0.7401,0.8196
48.36,103.1,0.7361,0.815
49.1,103.31,0.7394,0.8157
47.74,103.3,0.7423,0.8167
47.02,103.63,0.7483,0.822
48.12,103.55,0.741,0.8204
48.23,103.63,0.7378,0.8205
47.62,103.78,0.7433,0.8184
48,103.56,0.7406,0.8163
48.4,103.17,0.7338,0.8131
48.52,103.21,0.7311,0.8185
