BRENT,USAtoGBP,USAtoEUR,USAtoCHF
43.75,0.7695,0.8479,0.9126
42.94,0.7637,0.844,0.9089
43.3,0.7642,0.8488,0.9129
44.15,0.7649,0.85,0.9178
44.43,0.7651,0.8471,0.9134
45.17,0.7625,0.8428,0.9085
45.09,0.7605,0.8419,0.9097
44.4,0.7661,0.8482,0.9125
44.99,0.7649,0.8518,0.9156
44.5,0.7663,0.8517,0.9167
45.43,0.7671,0.8485,0.912
44.96,0.7654,0.8463,0.9096
44.8,0.7641,0.8443,0.909
45.37,0.7631,0.8424,0.9064
45.46,0.7552,0.8381,0.9037
45.37,0.7632,0.8447,0.915
44.9,0.7567,0.843,0.9076
44.35,0.7638,0.8475,0.9115
45.13,0.7654,0.8482,0.9117
45.86,0.7602,0.8449,0.9075
45.64,0.7569,0.8452,0.9081
45.09,0.7573,0.8458,0.9088
45.05,0.7488,0.8398,0.9038
45.28,0.7477,0.8377,0.9035
45.58,0.747,0.8393,0.9092
44.43,0.749,0.8434,0.9105
44.07,0.7528,0.8437,0.9093
42.66,0.7528,0.8445,0.9131
42.01,0.7593,0.8461,0.9159
39.78,0.7702,0.849,0.9173
40.79,0.769,0.8472,0.9123
40.06,0.7808,0.8462,0.9104
39.83,0.7814,0.844,0.9086
39.61,0.7783,0.8425,0.9083
40.53,0.7758,0.844,0.908
42.22,0.7711,0.8462,0.9092
43.3,0.7707,0.8439,0.9083
43.15,0.7741,0.8445,0.9116
41.44,0.7802,0.8494,0.9143
41.72,0.7852,0.854,0.9192
41.77,0.7858,0.8574,0.9238
41.94,0.7841,0.8565,0.9266
41.92,0.7843,0.8595,0.9284
42.43,0.779,0.857,0.9244
41.03,0.7773,0.8514,0.9192
40.95,0.7738,0.8531,0.9207
40.93,0.7756,0.851,0.9183
39.27,0.7727,0.8534,0.9209
41.29,0.7703,0.8485,0.9153
42.65,0.7763,0.8521,0.9177
41.99,0.7739,0.8501,0.9172
43.34,0.773,0.8503,0.9167
42.85,0.7663,0.8455,0.9101
41.72,0.7654,0.8464,0.9091
42.45,0.773,0.8512,0.9149
43.32,0.7683,0.8512,0.9138
43.16,0.7742,0.854,0.9149
42.93,0.7741,0.8532,0.9146
42.62,0.7721,0.8498,0.9102
43.16,0.7724,0.8457,0.9069
41.73,0.7603,0.843,0.9053
42.46,0.7642,0.846,0.9069
41.77,0.7666,0.843,0.9042
40.46,0.7678,0.8467,0.9074
41.2,0.7665,0.8477,0.9085
39.12,0.7701,0.8514,0.9103
37.65,0.7735,0.8565,0.9152
37.46,0.7725,0.8583,0.9167
38.97,0.7739,0.8589,0.9187
39.71,0.7656,0.8534,0.9117
41.23,0.7698,0.8527,0.9124
40.93,0.7606,0.8454,0.904
39.45,0.7599,0.842,0.9005
42.4,0.7596,0.8464,0.9133
43.61,0.7532,0.8462,0.9153
43.8,0.7561,0.849,0.9173
43.53,0.7623,0.8469,0.9148
42.78,0.7582,0.8449,0.9126
43.82,0.7576,0.8435,0.9127
43.75,0.7548,0.8428,0.9111
44.34,0.7533,0.8435,0.9109
44.2,0.7539,0.842,0.9109
44.96,0.7527,0.8434,0.9109
46.06,0.7505,0.8445,0.9125
47.86,0.7483,0.8408,0.9111
48.61,0.747,0.8392,0.908
47.8,0.7484,0.8392,0.9061
48.18,0.7509,0.8358,0.9041
47.59,0.7505,0.8381,0.909
47.42,0.7453,0.8284,0.8997
48.25,0.7481,0.8253,0.8942
48.71,0.7437,0.8234,0.8909
49.25,0.7439,0.8248,0.8921
48.79,0.7473,0.8257,0.8906
48.84,0.7487,0.8261,0.889
48.86,0.7463,0.8276,0.8892
50.25,0.7521,0.8237,0.8858
49.97,0.756,0.8254,0.8893
50.29,0.7504,0.8233,0.8863
50.76,0.7427,0.8227,0.8856
51.08,0.7401,0.8196,0.8855
51.5,0.7361,0.815,0.8843
52.26,0.7394,0.8157,0.8832
50.91,0.7423,0.8167,0.8855
50.08,0.7483,0.822,0.8896
51.2,0.741,0.8204,0.8878
51.29,0.7378,0.8205,0.8906
50.86,0.7433,0.8184,0.8884
51.09,0.7406,0.8163,0.8843
51.34,0.7338,0.8131,0.881
51.8,0.7311,0.8185,0.8853
